Time (s),Photometer (mg/L)
265.0083,15.4529705
266.0097,15.328825
267.009,15.24338531
268.0083,15.083395
269.0097,14.84878063
270.009,14.97428131
271.0084,14.70655632
272.0117,14.98618221
273.0091,15.16362095
274.0104,15.00812817
275.0097,14.82236481
276.0091,15.00257492
277.0084,14.91283417
278.0098,14.58727074
279.0092,14.69025612
280.0105,14.81026363
281.0098,14.47762966
282.0092,14.5569725
283.0085,14.58705807
284.0099,14.0217905
285.0112,14.31441784
286.0086,14.59778786
287.0099,14.3829546
288.0113,14.36045647
289.0106,14.43571091
290.01,14.34490204
291.0093,14.52061749
292.0087,14.43794727
293.01,14.10240364
294.0094,14.12318134
295.0107,14.15553951
296.01,14.04508877
297.0094,14.22294331
298.0107,14.20631981
299.0101,13.95821953
300.0094,14.06422043
301.0088,14.13200665
302.0101,13.95073318
303.0115,13.9816885
304.0088,13.68971348
305.0102,13.4557085
306.0095,13.7052393
307.0109,13.83249378
308.0122,13.66051865
309.0095,13.72259617
310.0109,13.70960045
311.0103,13.78654194
312.0116,13.56548023
313.0109,13.69085407
314.0103,13.70844173
315.0116,13.36770344
316.009,13.53568745
317.0103,13.45085907
318.0097,13.22045803
319.009,13.37810612
320.0104,13.78910828
321.0097,13.69647598
322.0091,13.52985287
323.0104,13.62899017
324.0097,13.60276699
325.0091,13.46874237
326.0105,13.40625572
327.0098,13.38015461
328.0092,13.12375069
329.0105,13.22198105
330.0099,13.22514629
331.0112,13.27149868
332.0106,12.93094158
333.0099,13.08757687
334.0112,12.91231728
335.0106,12.44665432
336.0099,12.78550053
337.0113,12.80619812
338.0106,12.99567604
339.01,12.94040012
340.0113,12.39733028
341.0107,12.57719994
342.012,12.59008408
343.0114,12.61025333
344.0107,12.46671581
345.0101,12.24340248
346.0114,12.20541763
347.0107,12.26659203
348.0121,12.10493469
349.0114,12.24290943
350.0108,12.1480608
351.0101,12.0195179
352.0115,11.95800781
353.0108,12.07837296
354.0102,12.02008247
355.0115,11.76216221
356.0109,11.70241833
357.0102,11.85200119
358.0116,11.78916836
359.0109,11.88790607
360.0123,11.7284584
361.0116,11.55000401
362.011,11.76211166
363.0103,11.79910851
364.0116,11.61907768
365.011,11.46404552
366.0103,11.57730389
367.0117,11.54334164
368.011,11.46889114
369.0104,11.31800842
370.0117,11.54984379
371.0111,11.41135216
372.0104,11.71171379
373.0117,11.57915497
374.0111,11.59815216
375.0104,11.56617355
376.0118,11.51464462
377.0112,11.21437168
378.0105,11.08122349
379.0118,11.23258877
380.0132,11.17421532
381.0105,11.00465965
382.0119,11.06591988
383.0112,11.13458443
384.0126,11.1512785
385.0119,11.05837059
386.0113,10.9995594
387.0106,11.07723618
388.012,10.8442831
389.0113,10.81348419
390.0107,10.82119656
391.012,11.02685261
392.0134,10.62615395
393.0107,10.84932709
394.0121,10.74318314
395.0134,10.72203445
396.0127,10.7869482
397.0121,10.67316914
398.0114,10.58611679
399.0108,10.85607338
400.0121,10.6037302
401.0135,10.58526897
402.0128,10.55216789
